"Symbol","Outcome","Risk","PlannedRR","CostR","GrossR","NetR","HoldBars"
"GBPUSD","win","0.000244799999999934","2","0.808823529412565","2","1.19117647058726","1"
"GBPUSD","loss","0.000276000000000165","1.99999999999839","0.722463768114161","-1","-1.72246376811635","1"
"GBPUSD","win","0.000177599999999778","2","1.11486486486706","2","0.885135135134189","1"
"GBPUSD","loss","0.000484799999999952","2.00000000000046","0.475907590759617","-1","-1.4759075907587","1"
"GBPUSD","win","0.000184799999999985","2","1.07142857142943","2","0.92857142857057","1"
"GBPUSD","win","0.000261599999999973","2.00000000000085","0.756880733945577","2.00000000000085","1.24311926605527","1"
"GBPUSD","win","0.000374400000000108","1.99999999999941","0.572008547008581","1.99999999999941","1.42799145299083","1"
"GBPUSD","loss","0.000734400000000024","2","0.365141612200523","-1","-1.36514161220052","1"
"GBPUSD","win","0.000760800000000117","1.99999999999971","0.357676130388992","1.99999999999971","1.64232386961072","1"
"AUDUSD","loss","0.000170400000000015","2","1.06056338028108","-1","-2.06056338028108","1"
"AUDUSD","loss","0.000588000000000033","1.99999999999981","0.402040816326363","-1","-1.40204081632636","11"
"AUDUSD","loss","0.0001776","2","1.02297297297338","-1","-2.02297297297338","1"
"AUDUSD","win","0.000448800000000027","2","0.485383244206552","2","1.51461675579345","1"
"AUDUSD","win","0.000153599999999976","2","1.16197916666672","2","0.838020833333276","1"
"AUDUSD","loss","0.000242399999999976","2","0.785148514851423","-1","-1.78514851485142","1"
"AUDUSD","win","0.00057599999999991","2.00000000000019","0.40763888888911","2.00000000000019","1.59236111111108","22"
"AUDUSD","loss","0.000278400000000012","2","0.700862068965861","-1","-1.70086206896586","1"
"AUDUSD","loss","0.000292799999999982","2","0.67295081967211","-1","-1.67295081967211","2"
"AUDUSD","win","0.000331200000000087","1.99999999999966","0.610386473429644","1.99999999999966","1.38961352657002","1"
"AUDUSD","win","0.000141600000000075","1.99999999999922","1.25706214689207","1.99999999999922","0.742937853107145","1"
"AUDUSD","loss","0.000196799999999997","2","0.936178861788925","-1","-1.93617886178893","1"
"AUDUSD","win","0.000616800000000084","2","0.389494163424256","2","1.61050583657574","10"
"AUDUSD","loss","0.000331199999999976","2.00000000000034","0.610386473429849","-1","-1.61038647342985","7"
"AUDUSD","loss","0.000146399999999991","2","1.21584699453567","-1","-2.21584699453567","1"
"AUDUSD","loss","0.000319199999999964","2.00000000000035","0.628320802004787","-1","-1.62832080200479","10"
"AUDUSD","loss","0.000211199999999967","2","0.881439393939225","-1","-1.88143939393923","1"
"AUDUSD","loss","0.000151200000000018","2","1.17830687830626","-1","-2.17830687830626","1"
"AUDUSD","loss","0.000268800000000069","1.99999999999959","0.721130952381183","-1","-1.72113095238118","1"
"AUDUSD","win","0.000165599999999988","2.00000000000067","1.08743961352681","2.00000000000067","0.912560386473859","1"
"AUDUSD","loss","0.00028079999999997","2.0000000000004","0.696011396011241","-1","-1.69601139601124","1"
